model,n,m,tau,T,core_lb,core_ub,core_size,seed,nr_cliques,max_clique,time_cliques
girg,1000000000000,3057,2.8,0.4,300000,1e+12,138,17,1280,25,12.531000
girg,1000000000000,3085,2.8,0.4,300000,1e+12,138,1928,1406,25,10.209824
girg,1000000000000,3048,2.8,0.4,300000,1e+12,138,2839,1352,26,12.584568
girg,1000000000000,3028,2.8,0.4,300000,1e+12,138,291,1182,25,12.629895
girg,1000000000000,3071,2.8,0.4,300000,1e+12,138,34,1209,26,8.992347
girg,1000000000000,3100,2.8,0.4,300000,1e+12,138,3728,1417,25,13.965052
girg,1000000000000,3094,2.8,0.4,300000,1e+12,138,4029,1410,23,4.731470
girg,1000000000000,3029,2.8,0.4,300000,1e+12,138,482,1625,24,13.833401
girg,1000000000000,3032,2.8,0.4,300000,1e+12,138,56,1206,22,12.925814
girg,1000000000000,3051,2.8,0.4,300000,1e+12,138,7821,1203,25,4.372975
girg,1000000000000,1639,2.8,0.4,300000,1e+06,123,17,521,18,1.276769
girg,1000000000000,1639,2.8,0.4,300000,1e+06,123,1928,607,16,1.384325
girg,1000000000000,1666,2.8,0.4,300000,1e+06,123,2839,581,18,3.647254
girg,1000000000000,1631,2.8,0.4,300000,1e+06,123,291,479,17,3.546263
girg,1000000000000,1647,2.8,0.4,300000,1e+06,123,34,442,17,2.494591
girg,1000000000000,1693,2.8,0.4,300000,1e+06,123,3728,630,16,3.832123
girg,1000000000000,1673,2.8,0.4,300000,1e+06,123,4029,601,16,1.418198
girg,1000000000000,1628,2.8,0.4,300000,1e+06,123,482,459,17,1.258052
girg,1000000000000,1679,2.8,0.4,300000,1e+06,123,56,575,16,4.009870
girg,1000000000000,1651,2.8,0.4,300000,1e+06,123,7821,542,16,3.925501
girg,1000000000000,970,2.8,0.4,500000,1e+12,55,17,313,23,3.111082
girg,1000000000000,953,2.8,0.4,500000,1e+12,55,1928,199,23,0.958712
girg,1000000000000,998,2.8,0.4,500000,1e+12,55,2839,220,26,2.864472
girg,1000000000000,987,2.8,0.4,500000,1e+12,55,291,297,22,3.267317
girg,1000000000000,979,2.8,0.4,500000,1e+12,55,34,229,25,2.099709
girg,1000000000000,994,2.8,0.4,500000,1e+12,55,3728,358,22,3.576714
girg,1000000000000,969,2.8,0.4,500000,1e+12,55,4029,351,20,3.375222
girg,1000000000000,978,2.8,0.4,500000,1e+12,55,482,269,23,3.235748
girg,1000000000000,990,2.8,0.4,500000,1e+12,55,56,278,23,3.158015
girg,1000000000000,998,2.8,0.4,500000,1e+12,55,7821,282,24,3.220453
girg,1000000000000,346,2.8,0.4,500000,1e+06,40,17,96,14,0.198908
girg,1000000000000,347,2.8,0.4,500000,1e+06,40,1928,106,12,0.629969
girg,1000000000000,396,2.8,0.4,500000,1e+06,40,2839,111,14,0.261975
girg,1000000000000,336,2.8,0.4,500000,1e+06,40,291,81,11,0.503905
girg,1000000000000,360,2.8,0.4,500000,1e+06,40,34,77,15,0.399702
girg,1000000000000,342,2.8,0.4,500000,1e+06,40,3728,93,12,0.570953
girg,1000000000000,349,2.8,0.4,500000,1e+06,40,4029,92,11,0.613277
girg,1000000000000,360,2.8,0.4,500000,1e+06,40,482,72,17,0.238927
girg,1000000000000,350,2.8,0.4,500000,1e+06,40,56,121,10,0.525137
girg,1000000000000,357,2.8,0.4,500000,1e+06,40,7821,66,14,0.494617
girg,1000000000000,389,2.8,0.4,700000,1e+12,30,17,56,20,0.666426
girg,1000000000000,394,2.8,0.4,700000,1e+12,30,1928,36,20,0.771956
girg,1000000000000,406,2.8,0.4,700000,1e+12,30,2839,28,22,0.283905
girg,1000000000000,395,2.8,0.4,700000,1e+12,30,291,35,22,0.735429
girg,1000000000000,380,2.8,0.4,700000,1e+12,30,34,23,20,0.496711
girg,1000000000000,401,2.8,0.4,700000,1e+12,30,3728,47,20,0.823219
girg,1000000000000,397,2.8,0.4,700000,1e+12,30,4029,40,21,0.802687
girg,1000000000000,385,2.8,0.4,700000,1e+12,30,482,53,19,0.847385
girg,1000000000000,396,2.8,0.4,700000,1e+12,30,56,90,19,0.320851
girg,1000000000000,402,2.8,0.4,700000,1e+12,30,7821,26,23,0.242978
girg,1000000000000,79,2.8,0.4,700000,1e+06,15,17,21,8,0.143873
girg,1000000000000,68,2.8,0.4,700000,1e+06,15,1928,18,7,0.105809
girg,1000000000000,73,2.8,0.4,700000,1e+06,15,2839,17,8,0.041904
girg,1000000000000,73,2.8,0.4,700000,1e+06,15,291,13,9,0.117124
girg,1000000000000,70,2.8,0.4,700000,1e+06,15,34,19,7,0.071936
girg,1000000000000,65,2.8,0.4,700000,1e+06,15,3728,14,7,0.098826
girg,1000000000000,73,2.8,0.4,700000,1e+06,15,4029,16,8,0.039461
girg,1000000000000,99,2.8,0.4,700000,1e+06,15,482,6,12,0.145270
girg,1000000000000,69,2.8,0.4,700000,1e+06,15,56,14,7,0.036038
girg,1000000000000,75,2.8,0.4,700000,1e+06,15,7821,11,9,0.040019
girg,1000000000000,3047,2.8,0.8,300000,1e+12,138,17,3241,21,6.284880
girg,1000000000000,3090,2.8,0.8,300000,1e+12,138,1928,3710,18,12.013405
girg,1000000000000,3052,2.8,0.8,300000,1e+12,138,2839,3033,22,8.457644
girg,1000000000000,3027,2.8,0.8,300000,1e+12,138,291,2896,20,13.896746
girg,1000000000000,3046,2.8,0.8,300000,1e+12,138,34,2924,21,10.126779
girg,1000000000000,3126,2.8,0.8,300000,1e+12,138,3728,4121,18,15.134754
girg,1000000000000,3107,2.8,0.8,300000,1e+12,138,4029,3649,18,16.464113
girg,1000000000000,2992,2.8,0.8,300000,1e+12,138,482,3629,22,13.602156
girg,1000000000000,3046,2.8,0.8,300000,1e+12,138,56,3047,19,5.848373
girg,1000000000000,3046,2.8,0.8,300000,1e+12,138,7821,3196,20,13.551451
girg,1000000000000,1629,2.8,0.8,300000,1e+06,123,17,1045,13,3.942473
girg,1000000000000,1631,2.8,0.8,300000,1e+06,123,1928,1124,11,1.713486
girg,1000000000000,1690,2.8,0.8,300000,1e+06,123,2839,1188,13,1.972808
girg,1000000000000,1663,2.8,0.8,300000,1e+06,123,291,1034,14,3.965381
girg,1000000000000,1624,2.8,0.8,300000,1e+06,123,34,923,16,2.411341
girg,1000000000000,1685,2.8,0.8,300000,1e+06,123,3728,1231,11,4.040670
girg,1000000000000,1679,2.8,0.8,300000,1e+06,123,4029,1231,13,4.292587
girg,1000000000000,1636,2.8,0.8,300000,1e+06,123,482,1068,12,1.476375
girg,1000000000000,1662,2.8,0.8,300000,1e+06,123,56,1082,12,4.021672
girg,1000000000000,1654,2.8,0.8,300000,1e+06,123,7821,1084,12,3.989057
girg,1000000000000,969,2.8,0.8,500000,1e+12,55,17,656,21,1.418617
girg,1000000000000,954,2.8,0.8,500000,1e+12,55,1928,594,19,2.176465
girg,1000000000000,1003,2.8,0.8,500000,1e+12,55,2839,548,24,1.418757
girg,1000000000000,977,2.8,0.8,500000,1e+12,55,291,737,19,1.684643
girg,1000000000000,996,2.8,0.8,500000,1e+12,55,34,497,25,2.451500
girg,1000000000000,993,2.8,0.8,500000,1e+12,55,3728,767,19,1.610750
girg,1000000000000,977,2.8,0.8,500000,1e+12,55,4029,667,19,4.062670
girg,1000000000000,982,2.8,0.8,500000,1e+12,55,482,768,23,3.738675
girg,1000000000000,998,2.8,0.8,500000,1e+12,55,56,683,19,4.305368
girg,1000000000000,994,2.8,0.8,500000,1e+12,55,7821,824,22,4.378422
girg,1000000000000,346,2.8,0.8,500000,1e+06,40,17,161,12,0.693944
girg,1000000000000,353,2.8,0.8,500000,1e+06,40,1928,159,11,0.682909
girg,1000000000000,387,2.8,0.8,500000,1e+06,40,2839,236,12,0.732077
girg,1000000000000,354,2.8,0.8,500000,1e+06,40,291,152,11,0.251079
girg,1000000000000,366,2.8,0.8,500000,1e+06,40,34,153,12,0.482324
girg,1000000000000,331,2.8,0.8,500000,1e+06,40,3728,145,10,0.225866
girg,1000000000000,354,2.8,0.8,500000,1e+06,40,4029,199,10,0.774470
girg,1000000000000,363,2.8,0.8,500000,1e+06,40,482,142,13,0.401029
girg,1000000000000,341,2.8,0.8,500000,1e+06,40,56,165,9,0.648127
girg,1000000000000,360,2.8,0.8,500000,1e+06,40,7821,115,13,0.256457
girg,1000000000000,389,2.8,0.8,700000,1e+12,30,17,53,20,0.654064
girg,1000000000000,395,2.8,0.8,700000,1e+12,30,1928,52,20,0.818890
girg,1000000000000,402,2.8,0.8,700000,1e+12,30,2839,28,22,0.740737
girg,1000000000000,395,2.8,0.8,700000,1e+12,30,291,64,19,0.376864
girg,1000000000000,378,2.8,0.8,700000,1e+12,30,34,41,20,0.483302
girg,1000000000000,399,2.8,0.8,700000,1e+12,30,3728,99,20,0.946280
girg,1000000000000,401,2.8,0.8,700000,1e+12,30,4029,49,21,0.827480
girg,1000000000000,384,2.8,0.8,700000,1e+12,30,482,109,19,0.626267
girg,1000000000000,394,2.8,0.8,700000,1e+12,30,56,97,19,1.058306
girg,1000000000000,402,2.8,0.8,700000,1e+12,30,7821,42,21,0.833137
