model,n,p,seed,nr_cliques,max_clique,time_cliques
dense_gnp,20,0.6,17,69,6,0.068654
superdense_gnp,20,0.6,17,69,6,0.203797
dense_gnp,20,0.6,1928,69,5,0.167270
superdense_gnp,20,0.6,1928,69,5,0.167131
dense_gnp,20,0.6,2839,74,7,0.261695
superdense_gnp,20,0.6,2839,74,7,0.250800
dense_gnp,20,0.6,291,69,6,0.076267
superdense_gnp,20,0.6,291,69,6,0.226565
dense_gnp,20,0.6,34,73,7,0.073892
superdense_gnp,20,0.6,34,73,7,0.225378
dense_gnp,20,0.6,3728,59,6,0.172578
superdense_gnp,20,0.6,3728,59,6,0.170063
dense_gnp,20,0.6,4029,76,7,0.077803
superdense_gnp,20,0.6,4029,76,7,0.248705
dense_gnp,20,0.6,482,47,7,0.063485
superdense_gnp,20,0.6,482,47,7,0.189899
dense_gnp,20,0.6,56,66,7,0.230895
superdense_gnp,20,0.6,56,66,7,0.233061
dense_gnp,20,0.6,7821,69,5,0.185219
superdense_gnp,20,0.6,7821,69,5,0.138915
dense_gnp,20,0.6,917,62,5,0.167060
superdense_gnp,20,0.6,917,62,5,0.170761
dense_gnp,20,0.6,91928,97,6,0.084438
superdense_gnp,20,0.6,91928,97,6,0.107277
dense_gnp,20,0.6,92839,58,7,0.204216
superdense_gnp,20,0.6,92839,58,7,0.157911
dense_gnp,20,0.6,9291,98,6,0.092260
superdense_gnp,20,0.6,9291,98,6,0.218743
dense_gnp,20,0.6,934,66,7,0.074451
superdense_gnp,20,0.6,934,66,7,0.166083
dense_gnp,20,0.6,93728,68,6,0.223004
superdense_gnp,20,0.6,93728,68,6,0.293683
dense_gnp,20,0.6,94029,98,6,0.253314
superdense_gnp,20,0.6,94029,98,6,0.083600
dense_gnp,20,0.6,9482,64,6,0.064463
superdense_gnp,20,0.6,9482,64,6,0.067746
dense_gnp,20,0.6,956,64,6,0.068026
superdense_gnp,20,0.6,956,64,6,0.068584
dense_gnp,20,0.6,97821,73,6,0.161403
superdense_gnp,20,0.6,97821,73,6,0.218393
dense_gnp,20,0.7,17,77,7,0.087022
dense_gnp,20,0.7,1928,98,6,0.087791
dense_gnp,20,0.7,2839,64,9,0.109022
dense_gnp,20,0.7,291,65,8,0.089607
dense_gnp,20,0.7,34,112,8,0.299759
dense_gnp,20,0.7,3728,63,8,0.075707
dense_gnp,20,0.7,4029,68,9,0.275105
